"","index","province","name","position","link"
"195",195,"四川","甘霖","常委、宣传部长","http://district.ce.cn/newarea/sddy/201705/29/t20170529_23315862_7.shtml"
"196",196,"四川","邓勇<U+00A0>","常委、政法委书记、公安厅长<U+00A0>","http://district.ce.cn/newarea/sddy/201706/03/t20170603_23404662.shtml"
"197",197,"四川","黄建发","常委、组织部长","http://district.ce.cn/newarea/sddy/201705/29/t20170529_23315862_9.shtml"
"198",198,"四川","王铭晖<U+00A0>","常委、秘书长，副省长<U+00A0>","http://district.ce.cn/newarea/sddy/201705/29/t20170529_23315862_10.shtml"
"199",199,"四川","李静<U+00A0>","常委、统战部长","http://district.ce.cn/newarea/sddy/201707/03/t20170703_23989571_1.shtml"
"200",200,"贵州","谌贻琴","省委书记","http://district.ce.cn/newarea/sddy/201709/12/t20170912_25914486_1.shtml"
"201",201,"贵州","秦如培","中央候补委员，副书记、代省长","http://district.ce.cn/newarea/sddy/201504/23/t20150423_5195801_1.shtml"
"202",202,"贵州","王晓光","中央委员，常委、统战部长","http://district.ce.cn/newarea/sddy/201706/03/t20170603_23403884.shtml"
"203",203,"贵州","唐承沛","常委、秘书长、政法委书记","http://district.ce.cn/newarea/sddy/201709/12/t20170912_25914486.shtml"
"204",204,"贵州","秦如培","常委、常务副省长","http://district.ce.cn/newarea/sddy/201704/20/t20170420_22186088_4.shtml"
"205",205,"贵州","慕德贵","中央候补委员，副省长","http://district.ce.cn/newarea/sddy/201706/03/t20170603_23403884_2.shtml"
"206",206,"贵州","夏红民","副省长","http://district.ce.cn/newarea/sddy/201704/20/t20170420_22186088_7.shtml"
"207",207,"贵州","王晓光","常委、副省长","http://district.ce.cn/newarea/sddy/201706/03/t20170603_23403884.shtml"
"208",208,"贵州","李邑飞","常委、组织部部长","http://district.ce.cn/newarea/sddy/201704/20/t20170420_22186088_9.shtml"
"209",209,"贵州","李再勇","常委、贵阳市委书记","http://district.ce.cn/newarea/sddy/201708/05/t20170805_24827250_1.shtml"
"210",210,"贵州","龙长春","常委、遵义市委书记","http://district.ce.cn/newarea/sddy/201705/18/t20170518_22985745.shtml"
"211",211,"云南","陈豪","书记，省人大主任","http://district.ce.cn/newarea/sddy/201701/22/t20170122_19782874.shtml"
